Date,DailyCases
30-01-2020,1
31-01-2020,1
01-02-2020,2
02-02-2020,3
03-02-2020,3
04-02-2020,3
05-02-2020,3
06-02-2020,3
07-02-2020,3
08-02-2020,3
09-02-2020,3
10-02-2020,3
11-02-2020,3
12-02-2020,3
13-02-2020,3
14-02-2020,3
15-02-2020,3
16-02-2020,3
17-02-2020,3
18-02-2020,3
19-02-2020,3
20-02-2020,3
21-02-2020,3
22-02-2020,3
23-02-2020,3
24-02-2020,3
25-02-2020,3
26-02-2020,3
27-02-2020,3
28-02-2020,3
29-02-2020,3
01-03-2020,3
02-03-2020,5
03-03-2020,6
04-03-2020,28
05-03-2020,30
06-03-2020,31
07-03-2020,34
08-03-2020,39
09-03-2020,46
10-03-2020,58
11-03-2020,60
12-03-2020,74
13-03-2020,81
14-03-2020,84
15-03-2020,107
16-03-2020,125
17-03-2020,137
18-03-2020,151
19-03-2020,173
20-03-2020,223
21-03-2020,401
22-03-2020,360
23-03-2020,433
24-03-2020,486
25-03-2020,606
26-03-2020,727
27-03-2020,887
28-03-2020,987
29-03-2020,1024
30-03-2020,1251
31-03-2020,1397
01-04-2020,1998
02-04-2020,2543
03-04-2020,3059
04-04-2020,3558
05-04-2020,4289
06-04-2020,4778
07-04-2020,5351
08-04-2020,5916
09-04-2020,6725
10-04-2020,7600
11-04-2020,8446
12-04-2020,9205
13-04-2020,10453
14-04-2020,11487
